address;city;floor;id;latitude;longitude;price;rooms;sq;year
Grzegórzki ul. Fabryczna;Kraków;8.0;28842.0;50.058.444;199.702.351;971904.0;3.0;75.93;2021.0
Wzgórza Krzes³awickie ul.Gustawa Morcinka;Kraków;0.0;26701.0;501.047.809;200.362.743;270648.0;2.0;37.59;2022.0
Dêbniki Kliny-Zacisze bpa Albina Ma³ysiaka;Kraków;1.0;23510.0;499.988.318;198.938.784;266500.0;1.0;31.59;2020.0
Wola Juliana Konstantego Ordona;Warszawa;1.0;14803.0;522.247.928;209.525.803;517329.0;2.0;45.24;2021.0
Bia³o³êka;Warszawa;1.0;15658.0;523.196.649;210.211.773;430336.0;1.0;33.62;2019.0
Nowa Huta Czy¿yny;Kraków;6.0;26149.0;500.816.349;20.016.490.706.002.100;498000.0;2.0;49.08;2019.0
Krowodrza;Kraków;10.0;23192.0;5.007.087.985;1.991.656.311.814.470;455000.0;3.0;45.0;1976.0
Je¿yce ul. œw. Wawrzyñca 11;Poznañ;0.0;5090.0;524.201.252;168.956.979;474128.2;3.0;62.14;2022.0
Wola Mirów Jaktorowska;Warszawa;4.0;11641.0;522.342.783;20.978.731;420000.0;1.0;26.8;2017.0
Praga-Po³udnie Goc³aw;Warszawa;3.0;9610.0;522.286.331;211.065.722;486540.0;2.0;44.94;2022.0
Bronowice ul. Bronowicka 5;Kraków;4.0;28296.0;500.778.251;19.900.680.986.965.700;1038636.0;3.0;88.02;2021.0
Grzegórzki ul. Fabryczna;Kraków;5.0;28954.0;50.058.444;199.702.351;533455.0;1.0;36.79;2021.0
Bie¿anów-Prokocim Z³ocieniowa;Kraków;0.0;19457.0;500.181.408;200.508.626;382301.0;2.0;52.37;2020.0
Nowe Miasto Malta ul. Katowicka;Poznañ;2.0;5745.0;523.973.449;169.619.394;417112.5;2.0;47.67;2022.0
Pr¹dnik Czerwony ul. Celarowska;Kraków;2.0;20837.0;50.081.864;199.546.492;349000.0;2.0;37.06;1980.0
Stare Miasto Centrum ul. Ostrów Tumski;Poznañ;3.0;77.0;524.113.371;169.476.211;445000.0;2.0;39.06;2021.0
Nowe Miasto Malta abpa Walentego Dymka;Poznañ;2.0;4250.0;523.938.613;169.910.647;461004.0;3.0;60.4;2020.0
Praga-Po³udnie Saska Kêpa;Warszawa;3.0;12598.0;5.223.280.325;21.054.660.077.101.200;670000.0;2.0;38.0;1938.0
Stare Miasto Starowiœlna;Kraków;3.0;25004.0;500.469.432;19.997.153.435.836.600;709000.0;2.0;53.4;1926.0
Nowe Miasto Kobyle Pole ul. abp. Walentego Dymka;Poznañ;3.0;3733.0;524.006.632;1.691.973.259.178.080;468300.0;3.0;66.9;2022.0
Grzegórzki D¹bie D¹bska;Kraków;0.0;20454.0;50.064.613;199.820.189;730000.0;3.0;73.81;2013.0
Podgórze Okólna;Kraków;4.0;21240.0;500.164.142;199.837.781;439000.0;3.0;48.2;1980.0
Wola Mirów Srebrna;Warszawa;9.0;15326.0;522.270.648;209.879.443;519000.0;2.0;35.5;1963.0
Praga-Po³udnie Saska Kêpa Miêdzynarodowa;Warszawa;1.0;18213.0;522.333.644;210.678.467;515000.0;2.0;37.5;1970.0
Bia³o³êka;Warszawa;2.0;15659.0;523.196.649;210.211.773;460000.0;3.0;65.0;2019.0
Praga-Po³udnie Grochowska;Warszawa;4.0;7850.0;522.497.745;211.068.857;480000.0;2.0;43.9;1970.0
Wilanów ul. Adama Branickiego;Warszawa;0.0;15754.0;52.154.572;210.706.211;1388000.0;3.0;110.8;2015.0
